step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
144,C0,5,M,28007,M0,28007,es_leisure,95.44119381727783,0
136,C1,2,M,28007,M1,28007,es_travel,59.20973835132875,0
157,C2,4,M,28007,M2,28007,es_food,20.7689584843726,0
79,C3,4,F,28007,M3,28007,es_tech,187.23407301876844,0
144,C4,4,M,28007,M4,28007,es_hotelservices,298.1738068008673,0
59,C5,0,F,28007,M5,28007,es_sportsandtoys,233.166610011365,0
140,C6,3,F,28007,M6,28007,es_fashion,178.06258447825334,0
77,C7,0,M,28007,M7,28007,es_wellnessandbeauty,217.75736400194546,0
70,C8,2,U,28007,M8,28007,es_leisure,311.9705500271427,0
167,C9,2,F,28007,M9,28007,es_contents,456.4150383181295,0
41,C10,4,U,28007,M10,28007,es_hyper,141.70977236199266,0
7,C11,1,F,28007,M11,28007,es_hotelservices,173.89875826247663,0
121,C12,4,M,28007,M12,28007,es_tech,325.5157968765749,0
48,C13,4,F,28007,M13,28007,es_contents,462.3606753841833,0
60,C14,2,U,28007,M14,28007,es_transportation,432.2334916164311,0
153,C15,6,E,28007,M15,28007,es_wellnessandbeauty,100.03903382959767,0
100,C16,6,U,28007,M16,28007,es_travel,167.89406714634742,0
123,C17,0,U,28007,M17,28007,es_wellnessandbeauty,314.95173607907566,0
54,C18,0,E,28007,M18,28007,es_transportation,14.944362760549613,0
140,C19,3,E,28007,M19,28007,es_health,219.0308736459563,0
151,C20,1,F,28007,M20,28007,es_contents,10.130205104582846,0
152,C21,2,M,28007,M21,28007,es_tech,435.6279829091655,0
118,C22,2,M,28007,M22,28007,es_wellnessandbeauty,275.08895627592193,0
132,C23,6,U,28007,M23,28007,es_hotelservices,265.5793094796927,0
97,C24,0,U,28007,M24,28007,es_transportation,102.91873645918548,0
101,C25,4,E,28007,M25,28007,es_hotelservices,48.68784023600614,0
157,C26,5,F,28007,M26,28007,es_fashion,8.450155354643218,0
35,C27,2,F,28007,M27,28007,es_health,309.59872747655993,0
6,C28,0,E,28007,M28,28007,es_contents,282.9633602630589,0
153,C29,2,M,28007,M29,28007,es_transportation,159.1609217878594,0
126,C30,3,F,28007,M30,28007,es_contents,428.2507556133206,0
106,C31,1,F,28007,M31,28007,es_travel,338.43573593205764,0
125,C32,5,F,28007,M32,28007,es_sportsandtoys,484.13011789094946,0
29,C33,3,U,28007,M33,28007,es_leisure,53.22504941359585,0
164,C34,2,M,28007,M34,28007,es_sportsandtoys,150.45869140147678,1
82,C35,0,U,28007,M35,28007,es_food,254.91762914769012,0
44,C36,2,M,28007,M36,28007,es_contents,424.86892446971444,0
8,C37,2,M,28007,M37,28007,es_travel,403.4896517128785,0
